ID	Value
htd24001	नंदाकोट\N_NNP पीक\N_NNP उत्तराखंड\N_NNP के\PSP पिथौरागढ़\N_NNP जिले\N_NNP में\PSP स्थित\V_VM है\V_VAUX ।\RD_PUNC
htd24002	यह\DM_DMD पीक\N_NN नंदादेवी\N_NNP से\PSP दक्षिण\N_NNP -\RD_PUNC पूर्व\N_NNP दिशा\N_NN में\PSP करीब\QT_QTF 15\QT_QTC किमी\N_NN दूरी\N_NN पर\PSP है\V_VM ।\RD_PUNC
htd24003	समुद्रतल\N_NN से\PSP इसकी\DM_DMD ऊँचाई\N_NN 6861\QT_QTC मीटर\N_NN अर्थात\CC_CCS 22510\QT_QTC फुट\N_NN है\V_VM ।\RD_PUNC
htd24004	ट्रैकिंग\N_NN के\PSP शौकीन\JJ लोग\N_NN यहाँ\DM_DMD की\PSP ओर\N_NN आकर्षित\N_NN होते\V_VM हैं\V_VAUX ।\RD_PUNC
htd24005	तुम्हें\PR_PRP याद\N_NN है\V_VM ,\RD_PUNC हमने\PR_PRP तुम्हें\PR_PRP नंदादेवी\N_NNP पर्वत\N_NNP के\PSP विषय\N_NN में\PSP बताया\V_VM था\V_VAUX ?\RD_PUNC
htd24006	नंदादेवी\N_NNP को\PSP उत्तराखंड\N_NNP के\PSP कुमाऊँ\N_NNP क्षेत्र\N_NN के\PSP निवासी\N_NN देवी\N_NNP पार्वती\N_NNP का\PSP स्वरूप\N_NN मानते\V_VM हैं\V_VAUX ।\RD_PUNC
htd24007	कुमाऊँ\N_NNP में\PSP ही\RP_RPD एक\QT_QTC अन्य\JJ पर्वत\N_NN नंदाकोट\N_NNP है\V_VM ।\RD_PUNC
htd24008	इस\DM_DMR हिमाच्छादित\N_NNP शिखर\N_NNP को\PSP भी\RP_RPD वहाँ\N_NN एक\QT_QTC पवित्र\JJ शिखर\N_NN मानते\V_VM हैं\V_VAUX ।\RD_PUNC
htd24009	जानते\V_VM हो\V_VAUX ,\RD_PUNC कोट\N_NN का\PSP अर्थ\N_NN होता\V_VM है\V_VAUX किला\N_NN और\CC_CCD पौराणिक\JJ आख्यानों\N_NN के\PSP अनुसार\N_NN यह\DM_DMD पर्वत\N_NN नंदादेवी\N_NNP अर्थात\CC_CCS पार्वती\N_NN का\PSP आवास\N_NN माना\V_VM गया\V_VAUX है\V_VAUX ।\RD_PUNC
htd24010	अब\N_NST हम\PR_PRP तुम्हें\PR_PRP इस\DM_DMR शिखर\N_NN के\PSP बारे\N_NN में\PSP पौराणिक\JJ आख्यानों\N_NN के\PSP अलावा\N_NN अन्य\JJ बातें\N_NN बताते\V_VM हैं\V_VAUX ।\RD_PUNC
