ID	Value
htd14001	We\PRP went\VBD to\TO the\DT other\JJ shores\NNS also\RB .\.
htd14002	Looking\VBG at\IN photographs\NNS on\IN returning\VBG it\PRP seems\VBZ what\WP waves\NNS they\PRP were\VBD .\.
htd14003	We\PRP were\VBD introduced\VBN to\TO the\DT unique\JJ world\NN of\IN corals\NNS of\IN various\JJ kinds\NNS some\DT feet\NNS underneath\IN deep\JJ sea\NN through\IN glass\NN on\IN the\DT plastic\JJ boat\NN in\IN sea\NN on\IN the\DT Neel\NNP island\NN .\.
htd14004	The\DT thrill\NN -\: loving\JJ tourists\NNS also\RB get\VBP to\TO do\VB snorkelling\NN under\IN the\DT guidance\NN of\IN experienced\JJ guides\NNS to\TO experience\VB corals\NNS and\CC sea\NN life\NN up\RB -\: close\JJ on\IN many\JJ shores\NNS .\.
htd14005	Coconuts\NNPS were\VBD so\RB many\JJ that\IN the\DT need\NN for\IN water\NN was\VBD not\RB felt\VBN .\.
htd14006	The\DT water\NN of\IN reddish\JJ brown\JJ coconut\NN is\VBZ more\RBR sweet\JJ .\.
htd14007	If\IN the\DT green\JJ coconut\NN on\IN tree\NN grows\VBZ more\RBR in\IN size\NN it\PRP will\MD taste\VB like\IN coca\NN -\: cola\NN ,\, it\PRP also\RB felt\VBD so\RB on\IN drinking\NN .\.
htd14008	In\IN the\DT ordinary\JJ green\JJ coconut\NN sweetness\NN and\CC taste\NN is\VBZ ordinary\JJ .\.
htd14009	If\IN grape\NN pulp\NN has\VBZ to\TO be\VB eaten\VBN then\RB a\DT spoon\NN made\VBN of\IN coconut\NN will\MD soon\RB be\VB presented\VBN .\.
htd14010	Health\NNP and\CC pleasure\NN both\DT ,\, thirst\NN is\VBZ quenched\VBN as\RB well\RB .\.
htd14011	It\PRP is\VBZ possible\JJ to\TO stay\VB overnight\JJ at\IN Neel\NNP but\CC we\PRP had\VBD to\TO return\VB after\IN noon\NN .\.
htd14012	On\IN return\NN journey\NN we\PRP touched\VBD Havelock\NNP island\NN .\.
htd14013	There\EX are\VBP comfortable\JJ overnight\JJ stays\NNS here\RB also\RB .\.
htd14014	After\IN deboarding\VBG the\DT passengers\NNS and\CC boarding\VBG letters\NNS at\IN Havelock\NNP island\NN when\WRB the\DT ship\NN moved\VBD towards\IN Port\NNP Blair\NNP then\RB the\DT colors\NNS of\IN evening\NN were\VBD descending\VBG down\RP on\IN the\DT water\NN .\.
htd14015	The\DT moving\VBG breeze\NN changed\VBD the\DT gait\NN of\IN waves\NNS after\IN rain\NN stopped\VBD .\.
htd14016	The\DT breeze\NN was\VBD coming\VBG from\IN the\DT front\NN .\.
htd14017	Waves\NNS troubled\VBD ,\, the\DT ship\NN moved\VBD slightly\RB up\RB and\CC down\RB .\.
htd14018	In\IN such\PDT a\DT situation\NN many\JJ tourists\NNS feel\VBP a\DT headache\NN -LRB-\-LRB- sea\NN sickness\NN -RRB-\-RRB- .\.
htd14019	If\IN standing\VBG on\IN deck\NN then\RB water\NN drowning\VBG in\IN deep\JJ colors\NNS fills\VBZ every\DT bit\NN of\IN you\PRP with\IN fear\NN filled\VBN thrill\NN .\.
htd14020	Neel\NNP to\TO Port\NNP Blair\NNP via\IN Havelock\NNP takes\VBZ more\JJR than\IN four\CD hours\NNS .\.
htd14021	In\IN this\DT ship\NN staff\NN canteen\NN was\VBD also\RB not\RB open\JJ ,\, here\RB we\PRP realized\VBD how\WRB important\JJ is\VBZ tea\NN .\.
htd14022	Now\RB under\IN Navy\NNP ,\, at\IN some\DT time\NN acting\VBG as\IN the\DT capital\NN for\IN the\DT British\NNP and\CC Japanese\NNP ,\, Ross\NNP island\NN is\VBZ neighbor\NN of\IN Port\NNP Blair\NNP .\.
htd14023	Next\JJ day\NN '\'' s\VBZ journey\NN took\VBD us\PRP on\IN a\DT trip\NN to\TO three\CD islands\NNS but\CC we\PRP had\VBD to\TO visit\VB only\RB the\DT Ross\NNP .\.
htd14024	While\IN going\VBG the\DT island\NN which\WDT is\VBZ seen\VBN towards\IN left\NN is\VBZ North\JJ bay\NN .\.
