ID	Value
htd10001	In\IN ancient\JJ times\NNS Orissa\NNP was\VBD known\VBN by\IN the\DT name\NN of\IN '\'' Kalinga\NNP '\POS .\.
htd10002	In\IN the\DT third\JJ century\NN -LRB-\-LRB- 268\CD B\NN .\.NP .\: -RRB-\-RRB- Mauryan\NNP emperor\NNP Ashoka\NNP had\VBD obtained\VBN victory\NN over\IN Kalinga\NNP .\.
htd10003	The\DT terrible\JJ bloodshed\NN that\WDT happened\VBD during\IN the\DT war\NN forced\VBD him\PRP to\TO adopt\VB the\DT religion\NN Buddhism\NNP .\.
htd10004	Here\RB in\IN the\DT fourth\JJ century\NN Samudragupta\NNP ,\, in\IN 610\CD A\NN .\.NP .\: Shashank\NNP ,\, in\IN the\DT seventh\JJ century\NN Gang\NN dynasty\NN and\CC in\IN 795\CD A\NN .\.NP .\: Mahashiva\NNP Gupta\NNP Yayati\NNP the\DT second\JJ became\VBD the\DT ruler\NN .\.
htd10005	The\DT construction\NN of\IN the\DT world\NN famous\JJ Jagannath\NNP temple\NN of\IN Puri\NNP happened\VBD in\IN his\PRP$ rule\NN .\.
htd10006	From\IN the\DT 14th\JJ century\NN till\IN 1592\CD Muslim\NNP rulers\NNS ruled\VBD over\IN Orissa\NNP -LRB-\-LRB- Kalinga\NNP -RRB-\-RRB- .\.
htd10007	After\IN the\DT decline\NN of\IN the\DT Mughals\NNPS the\DT reign\NN of\IN the\DT Marathas\NNPS remained\VBD in\IN Orissa\NNP .\.
htd10008	On\IN 19\CD August\NNP ,\, 1949\CD various\JJ states\NNS being\VBG combined\VBN Orissa\NNP was\VBD declared\VBN an\DT independent\JJ state\NN .\.
htd10009	Mahanadi\NNP ,\, Brahamari\NNP and\CC Vatari\NNP are\VBP the\DT three\CD major\JJ rivers\NNS of\IN Orissa\NNP state\NN .\.
htd10010	The\DT most\RBS famous\JJ and\CC large\JJ lake\NN Chilka\NNP is\VBZ in\IN Orissa\NNP only\RB .\.
htd10011	The\DT length\NN of\IN Chilka\NNP lake\NN is\VBZ 64\CD kilometres\NNS and\CC the\DT breadth\NN is\VBZ 16\CD to\TO 20\CD kilometre\NN .\.
htd10012	In\IN Chilka\NNP lake\NN are\VBP two\CD beautiful\JJ islands\NNS '\POS Gharikund\NNP '\POS and\CC '\'' Mulad\NNP '\POS .\.
htd10013	Along\IN with\IN being\VBG a\DT famous\JJ tourist\NN spot\NN from\IN the\DT historical\JJ and\CC spiritual\JJ point\NN of\IN view\NN ,\, Bhubaneswar\NNP is\VBZ also\RB the\DT capital\NN of\IN Orissa\NNP state\NN .\.
htd10014	Bhubaneswar\JJ city\NN is\VBZ called\VBN the\DT '\POS city\NN of\IN temples\NNS '\POS .\.
htd10015	It\PRP is\VBZ said\VBD that\IN at\IN some\DT time\NN there\RB used\VBN to\TO be\VB 1000\CD temples\NNS in\IN Bhubaneswar\NNP .\.
htd10016	At\IN present\NN in\IN the\DT temples\NNS of\IN Bhubaneswar\NNP the\DT Lingaraj\NNP temple\NN of\IN the\DT 11th\JJ century\NN is\VBZ famous\JJ in\IN the\DT whole\JJ world\NN .\.
htd10017	In\IN the\DT Lingraj\NNP temple\NN the\DT powerful\JJ examples\NNS of\IN architecture\NN style\NN of\IN Orissa\NNP can\MD be\VB seen\VBN .\.
htd10018	In\IN actuality\NN the\DT incomparable\JJ beauty\NN of\IN Orissa\NNP is\VBZ composed\VBN and\CC settled\VBN not\RB only\RB in\IN its\PRP$ traditionalism\NN but\CC also\RB in\IN the\DT natural\JJ panorama\NN here\RB .\.
htd10019	World\NNP famous\JJ Lingraj\NNP temple\NN is\VBZ also\RB known\VBN by\IN the\DT name\NN of\IN Bhubaneswar\NNP temple\NN .\.
htd10020	On\IN the\DT outside\JJ walls\NNS of\IN Lingraj\NNP temple\NN unique\JJ samples\NNS of\IN artwork\NN are\VBP worth\JJ seeing\VBG .\.
htd10021	Inside\IN the\DT Lingraj\NNP temple\NN is\VBZ a\DT large\JJ Shivalinga\NNP made\VBD of\IN granite\NN stone\NN in\IN whose\WP$ half\JJ part\NN is\VBZ engraved\VBN the\DT form\NN of\IN Vishnu\NNP .\.
htd10022	Mukteshwar\JJ temple\NN is\VBZ an\DT excellent\JJ example\NN of\IN architecture\NN .\.
htd10023	In\IN Mukteshwar\NNP temple\NN the\DT artistic\JJ sights\NNS of\IN the\DT Gandharv\NNP aircraft\NN ,\, the\DT crushing\VBG tusks\NNS of\IN elephants\NNS ,\, jumping\VBG monkeys\NNS and\CC running\VBG deer\NN seems\VBZ alive\JJ .\.
htd10024	Brahmeshwar\JJ temple\NN is\VBZ situated\VBN near\IN '\'' Brahmakund\NNP '\POS .\.
htd10025	In\IN Brahmeshwar\NNP temple\NN the\DT artistic\JJ idol\NN of\IN Lord\NNP Shiva\NNP is\VBZ worth\JJ seeing\VBG in\IN a\DT special\JJ way\NN .\.
htd10026	Rameshwara\NN temple\NN is\VBZ also\RB called\VBN Gudiya\NNP temple\NN .\.
htd10027	In\IN Rameshwara\NNP temple\NN the\DT Shivalinga\NNP is\VBZ prestigious\JJ .\.
htd10028	On\IN Chaitra\NNP Shukla\NNP Ashtami\NNP the\DT Yatra\NNP chariot\NN of\IN Lingaraj\NNP comes\VBZ till\IN this\DT Rameshwara\NNP temple\NN .\.
htd10029	Parashurameshwara\NNP temple\NN is\VBZ situated\VBN at\IN a\DT distance\NN of\IN 1\CD kilometre\NN from\IN Lingaraj\NNP temple\NN .\.
htd10030	The\DT architecture\NN of\IN the\DT ancient\JJ Parashurameshwara\NNP temple\NN of\IN Bhubaneswar\NNP is\VBZ worth\JJ seeing\VBG .\.
htd10031	Nandankanan\NNP National\NNP Park\NNP situated\VBD at\IN a\DT distance\NN of\IN 12\CD kilometres\NNS from\IN Bhubaneswar\NNP is\VBZ a\DT reserve\NN of\IN animals\NNS .\.
htd10032	There\EX is\VBZ a\DT beautiful\JJ lake\NN in\IN Nandankanan\NNP also\RB .\.
htd10033	This\DT lake\NN attracts\VBZ tourists\NNS from\IN afar\NN .\.
htd10034	The\DT idols\NNS of\IN Mahatma\NNP Buddha\NNP all\DT around\IN of\IN Shanti\NNP stupa\NN on\IN Dhauli\NNP mountain\NN 8\CD kilometres\NNS away\RB from\IN Bhubaneswar\NNP is\VBZ worth\JJ seeing\VBG .\.
htd10035	Shanti\NNP Stupa\NNP is\VBZ an\DT excellent\JJ example\NN of\IN modern\JJ architecture\NN of\IN the\DT Buddhist\NNP tradition\NN .\.
htd10036	Near\IN Dhauli\NNP mountain\NN only\RB is\VBZ that\DT field\NN where\WRB Emperor\NNP Ashoka\NNP had\VBD defeated\VBN the\DT Kalinga\NNP king\NN in\IN the\DT war\NN .\.
htd10037	160\CD types\NNS of\IN fishes\NNS can\MD be\VB found\VBN in\IN Chilka\NNP Lake\NNP situated\VBD in\IN the\DT south\NN -\: west\NN of\IN Puri\NNP .\.
htd10038	In\IN Chilka\NNP Lake\NNP spread\VBD in\IN 1100\CD square\JJ kilometres\NNS a\DT boat\NN ride\NN has\VBZ its\PRP$ own\JJ enjoyment\NN .\.
htd10039	In\IN the\DT '\'' State\NNP Museum\NNP '\POS situated\VBN between\IN old\JJ and\CC new\JJ Bhubaneswar\NNP you\PRP can\MD see\VB medieval\JJ rare\JJ copperplates\NNS ,\, manuscripts\NNS ,\, artworks\NNS and\CC inscriptions\NNS from\IN very\RB close\JJ .\.
htd10040	Here\RB idols\NNS of\IN stone\NN crafts\NNS ,\, coins\NNS and\CC other\JJ objects\NNS of\IN handicraft\NN are\VBP also\RB worth\JJ seeing\VBG .\.
htd10041	It\PRP is\VBZ said\VBD that\IN Shishupalgarh\NNP was\VBD once\RB the\DT capital\NN of\IN Orissa\NNP .\.
htd10042	In\IN Shishupalgarh\NNP you\PRP can\MD see\VB many\JJ ruins\NNS of\IN ancient\JJ times\NNS .\.
htd10043	At\IN a\DT distance\NN of\IN 8\CD kilometres\NNS from\IN Bhubaneswar\NNP are\VBP two\CD caves\NNS of\IN the\DT name\NN Khandgiri\NNP and\CC Udaygiri\NNP .\.
htd10044	These\DT caves\NNS have\VBP their\PRP$ own\JJ historical\JJ significance\NN .\.
htd10045	Situated\VBN on\IN a\DT mountain\NN both\DT these\DT caves\NNS are\VBP 2000\CD years\NNS old\JJ .\.
htd10046	Retrenching\VBG one\CD stone\NN only\JJ artists\NNS have\VBP made\VBN idols\NNS of\IN 24\CD Tirthankaras\NNPS here\RB which\WDT are\VBP especially\RB worth\JJ seeing\VBG .\.
htd10047	Regular\JJ air\NN services\NNS are\VBP available\JJ from\IN Delhi\NNP ,\, Kolkata\NNP ,\, Mumbai\NNP ,\, Chennai\NNP etc\NN .\: major\JJ cities\NNS for\IN Bhubaneswar\NNP .\.
htd10048	Bhubaneswar\NNP is\VBZ connected\VBN to\TO major\JJ cities\NNS of\IN the\DT country\NN via\IN rail\NN route\NN .\.
htd10049	All\PDT the\DT water\NN sources\NNS have\VBP given\VBN their\PRP$ water\NN drop\NN by\IN drop\NN to\TO the\DT lake\NN constructed\VBN to\TO quench\VB the\DT thirst\NN of\IN mother\NN Parvati\NNP ji\NNP ,\, since\IN then\RB it\PRP 's\VBZ name\NN has\VBZ been\VBN Bindu\JJ sarovar\NN .\.
htd10050	In\IN 650\CD A\NN .\.NP .\: in\IN the\DT constructed\VBN Parshurameshwar\NNP temple\NN the\DT idol\NN of\IN Karthik\NNP ,\, son\NN of\IN Shiva\NNP ,\, is\VBZ placed\VBN .\.
htd10051	Ramayana\NNP and\CC Mahabharata\NNP ancient\JJ epics\NNS have\VBP been\VBN engraved\VBN on\IN the\DT walls\NNS .\.
htd10052	The\DT protector\NN of\IN one\CD from\IN the\DT ancient\JJ temples\NNS of\IN Bhubaneswar\NNP Ananta\NNP Vasudeva\NNP Mandir\NNP ,\, is\VBZ Vasudeva\NNP Krishna\NNP .\.
htd10053	In\IN ancient\JJ Kedareshwar\NNP temple\NN the\DT idol\NN of\IN Durga\NNP ji\NNP is\VBZ established\VBN .\.
htd10054	From\IN the\DT view\NN of\IN the\DT grand\JJ idol\NN of\IN Durgaji\NNP infinite\JJ respect\NN overflows\NNS from\IN the\DT heart\NN of\IN the\DT viewers\NNS .\.
htd10055	The\DT idol\NN of\IN Adamkad\NNP Bajrangbali\NNP and\CC Gauri\NNP temple\NN and\CC Gaurikund\NNP temple\NN are\VBP also\RB worth\JJ seeing\VBG .\.
htd10056	In\IN the\DT vicinity\NN of\IN Kedareshwar\NNP temple\NN the\DT miraculous\JJ water\NN of\IN Dudhganga\NNP removes\VBZ all\DT ailments\NNS .\.
htd10057	The\DT Raja\NNP Rani\NNP temple\NN of\IN Bhubaneswar\NNP ,\, Bhaskareshwar\NNP Shiva\NNP temple\NN ,\, Madheshwar\NNP Bhoomi\NNP ,\, Vandankanan\NNP ,\, Museum\NNP etc\NN .\: are\VBP also\RB not\RB less\RBR worth\JJ seeing\VBG .\.
htd10058	Puri\NNP '\POS is\VBZ a\DT center\NN of\IN pure\JJ Hindu\JJ pilgrim\NN respect\NN and\CC belief\NN .\.
htd10059	In\IN the\DT ancient\JJ temple\NN of\IN Puri\NNP Jagannath\NNP the\DT incarnation\NN of\IN protector\NN Lord\NNP Vishnu\NNP and\CC 16\CD art\NN accomplished\VBD Lord\NNP Sri\NNP Krishna\NNP is\VBZ placed\VBN .\.
htd10060	Such\JJ is\VBZ also\RB said\VBD that\IN on\IN staying\NN 3\CD days\NNS and\CC 3\CD nights\NNS in\IN Puri\NNP the\DT attainment\NN of\IN heaven\NN happens\VBZ to\TO a\DT being\NN .\.
htd10061	The\DT construction\NN of\IN four\CD decorated\VBN doors\NNS has\VBZ been\VBN done\VBN for\IN entering\VBG in\IN this\DT grand\JJ temple\NN constructed\VBN by\IN King\NNP Angan\NNP in\IN the\DT last\JJ part\NN of\IN the\DT 11th\JJ century\NN .\.
htd10062	Inside\IN Markendaya\NNP temple\NN ,\, Radhakrishna\NNP Mangala\NNP temple\NN ,\, Indrani\NNP ,\, Lakshmi\NNP and\CC Kali\NNP ,\, Sarvamangala\NNP ,\, Pataleshwar\NNP ,\, Suryanarayana\NNP etc\NN .\: the\DT idols\NNS of\IN many\JJ other\JJ gods\NNS -\: goddesses\NNS have\VBP been\VBN established\VBN .\.
htd10063	In\IN a\DT major\JJ way\NN in\IN Puri\NNP only\JJ Jagannath\NN ji\NN is\VBZ worshipped\VBN .\.
htd10064	On\IN the\DT head\NN of\IN Lord\NNP Jagannath\NNP a\DT valuable\JJ diamond\NN is\VBZ studded\VBN .\.
htd10065	Along\IN in\IN the\DT temple\NN the\DT sister\NN of\IN Balbhadra\NNP and\CC Lord\NNP Jagannath\NNP ,\, Subhadra\NNP is\VBZ seated\VBN .\.
htd10066	Near\IN only\JJ Mother\NNP Lakshmi\NNP ,\, Saraswati\NNP in\IN the\DT direction\NN of\IN back\RB the\DT idols\NNS of\IN Neelmahao\NNP and\CC Brahmadas\NNP are\VBP consecrated\VBN .\.
htd10067	By\IN bathing\NN in\IN the\DT pure\JJ water\NN of\IN Makareshwara\NNP temple\NN one\NN attains\VBZ virtue\NN .\.
htd10068	Near\IN only\RB to\TO Makareshwar\NNP temple\NN in\IN Loknath\NNP temple\NN Lord\NNP Sadashiva\NNP resides\VBZ .\.
htd10069	But\CC he\PRP frequently\RB resides\VBZ in\IN the\DT pure\JJ water\NN of\IN the\DT lake\NN constructed\VBD nearby\JJ .\.
htd10070	The\DT '\'' Ganjam\NNP '\POS district\NN of\IN Orissa\NNP is\VBZ lying\VBG filled\VBN with\IN natural\JJ estate\NN .\.
htd10071	In\IN Ganjam\NNP also\RB there\EX are\VBP many\JJ places\NNS worth\IN seeing\VBG like\IN -\: Taptapani\NNP .\.
htd10072	In\IN the\DT middle\NN of\IN high\JJ -\: low\JJ mountain\NN peaks\NNS Taptapani\NNP is\VBZ a\DT reservoir\NN of\IN hot\JJ water\NN for\IN the\DT power\NN of\IN destruction\NN of\IN skin\NN -\: diseases\NNS .\.
htd10073	The\DT Daringbadi\NNP area\NN of\IN Christian\JJ religious\JJ tribes\NNS believing\VBG Jesus\NNP Christ\NNP as\IN their\PRP$ lord\NN is\VBZ known\VBN for\IN its\PRP$ agreeable\JJ natural\JJ beauty\NN .\.
htd10074	The\DT journey\NN of\IN this\DT Mahendragiri\NNP mythological\JJ mountain\NN area\NN should\MD be\VB done\VBN by\IN those\DT only\RB who\WP have\VBP strong\JJ legs\NNS .\.
htd10075	Because\IN Mahendragiri\NNP area\NN is\VBZ situated\VBN at\IN a\DT height\NN of\IN 5000\CD feet\NNS .\.
htd10076	Walking\VBG on\IN feet\NNS after\IN a\DT 43\CD km\NN journey\NN of\IN bus\NN ,\, Mahendragiri\NNP can\MD be\VB reached\VBN .\.
htd10077	Incidentally\RB on\IN reaching\VBG the\DT peak\NN of\IN Mahendragiri\NNP on\IN viewing\VBG the\DT temples\NNS situated\VBD there\RB the\DT fatigue\NN vanishes\VBZ .\.
htd10078	In\IN Mahendragiri\NNP the\DT grand\JJ temples\NNS of\IN Kunti\NNP ,\, Bhima\NNP and\CC Dharmraj\NNP Yudhishtir\NNP are\VBP also\RB there\RB .\.
htd10079	Here\RB on\IN pretext\NN of\IN arrangement\NN of\IN staying\VBG one\PRP can\MD stay\VB in\IN Ganjam\NNP .\.
htd10080	Gopalpur\NNP place\NN is\VBZ famous\JJ for\IN extremely\RB beautiful\JJ sea\NN shore\NN and\CC clean\JJ environment\NN .\.
htd10081	In\IN Gopalpur\NNP a\DT lot\NN of\IN enjoyment\NN can\MD be\VB derived\VBN of\IN sunbathing\VBG in\IN the\DT sea\NN .\.
htd10082	Man\NNP has\VBZ remained\VBN reflective\JJ since\IN the\DT beginning\NN ,\, has\VBZ remained\VBN inquisitive\JJ .\.
htd10083	Curiosity\NN about\IN every\DT new\JJ things\NNS and\CC knowing\VBG comprehensively\RB about\IN it\PRP has\VBZ been\VBN the\DT nature\NN of\IN human\NN .\.
htd10084	There\EX was\VBD a\DT time\NN when\WRB people\NNS had\VBD to\TO face\VB difficulties\NNS in\IN transmigration\NN .\.
htd10085	Today\NN circumstances\NNS have\VBP changed\VBN .\.
htd10086	The\DT resources\NNS of\IN journey\NN have\VBP become\VBN people\NNS -\: friendly\JJ .\.
htd10087	In\IN this\DT modern\JJ age\NN of\IN computer\NN and\CC science\NN for\IN cross\JJ country\NN travel\NN all\DT modern\JJ facilities\NNS are\VBP available\JJ .\.
htd10088	Mostly\RB people\NNS have\VBP quite\RB less\JJR information\NN about\IN the\DT historical\JJ facts\NNS of\IN places\NNS worth\JJ seeing\VBG .\.
htd10089	In\IN books\NNS under\IN review\NN the\DT entertaining\JJ tourist\NN places\NNS of\IN India\NNP and\CC keeping\VBG in\IN mind\NN the\DT needs\NNS and\CC importance\NN of\IN cross\JJ country\NN travels\VBZ the\DT incorporation\NN of\IN facts\NNS has\VBZ been\VBN done\VBN .\.
htd10090	In\IN the\DT book\NN the\DT author\NN has\VBZ displayed\VBN with\IN pictures\NNS the\DT entire\JJ information\NN of\IN state\NN pilgrim\NN places\NNS .\.
htd10091	Some\DT important\JJ tips\NNS of\IN tourism\NN have\VBP also\RB been\VBN given\VBN due\JJ place\NN .\.
htd10092	Most\JJS people\NNS after\IN cross\JJ country\NN travel\NN forget\VB to\TO keep\VB in\IN mind\NN some\DT small\JJ things\NNS .\.
htd10093	During\IN this\DT omission\NN journey\NN is\VBZ proven\VBN sad\JJ .\.
htd10094	For\IN this\DT it\PRP is\VBZ essential\JJ that\IN before\IN the\DT journey\NN beginning\NN reflecting\VBG first\RB on\IN many\JJ suggestions\NNS make\VBP a\DT list\NN of\IN this\DT then\RB the\DT journey\NN will\MD prove\VB memorable\JJ .\.
htd10095	The\DT author\NN has\VBZ given\VBN appropriate\JJ place\NN in\IN the\DT book\NN to\TO the\DT addresses\NNS of\IN hotels\NNS of\IN major\JJ cities\NNS ,\, railways\NNS ,\, air\NN craft\NN ,\, addresses\NNS of\IN road\NN transport\NN and\CC also\RB important\JJ announcements\NNS like\IN telephone\NN .\.
htd10096	To\TO roam\VB at\IN their\PRP$ favorite\JJ places\NNS is\VBZ a\DT dream\NN of\IN everyone\NN .\.
htd10097	Especially\RB in\IN the\DT holidays\NNS of\IN summertime\NN all\DT school\NN children\NNS have\VBP a\DT feeling\NN of\IN roaming\VBG at\IN their\PRP$ favorite\JJ tourist\NN places\NNS .\.
htd10098	But\CC in\IN the\DT absence\NN of\IN appropriate\JJ information\NN and\CC guidance\NN their\PRP$ that\DT dream\NN can\MD not\RB be\VB fulfilled\VBN .\.
htd10099	Today\NN there\EX is\VBZ a\DT lot\NN of\IN profit\NN from\IN cross\JJ country\NN travels\NNS .\.
htd10100	During\IN their\PRP$ wanderings\NNS the\DT places\NNS man\NN sees\VBZ he\PRP can\MD never\RB forget\VB those\DT .\.
htd10101	By\IN cross\JJ country\NN travels\VBZ the\DT enjoyment\NN of\IN man\NN also\RB happens\VBZ fully\RB .\.
htd10102	Somewhere\RB high\JJ stony\NN peaks\NNS entice\VBP the\DT soul\NN then\RB somewhere\RB beautiful\JJ valleys\NNS .\.
htd10103	Somewhere\RB historical\JJ places\NNS are\VBP found\VBN to\TO be\VB seen\VBN then\RB somewhere\RB museums\NNS throw\VBP us\PRP in\IN wonder\NN .\.
htd10104	Some\DT special\JJ tips\NNS of\IN preparations\NNS of\IN before\RB going\VBG on\IN the\DT trip\NN are\VBP given\VBN in\IN this\DT book\NN .\.
htd10105	Complete\JJ information\NN is\VBZ given\VBN of\IN major\JJ national\JJ parks\NNS and\CC tourist\NN places\NNS worth\IN seeing\VBG in\IN all\DT important\JJ states\NNS from\IN Jammu\NNP -\: Kashmir\NNP to\TO Kanyakumari\NNP .\.
htd10106	The\DT place\NN where\WRB you\PRP are\VBP going\VBG to\TO journey\NN ,\, obtain\VB complete\JJ information\NN about\IN that\DT from\IN the\DT tourist\NN department\NN .\.
htd10107	You\PRP can\MD prepare\VB the\DT program\NN according\VBG to\TO that\DT .\.
htd10108	The\DT place\NN you\PRP are\VBP going\VBG to\TO roam\VB ,\, definitely\RB keep\VB the\DT road\NN map\NN ,\, addresses\NNS of\IN the\DT hotel\NN and\CC dharamsalas\NNS related\VBN to\TO that\DT so\IN that\IN your\PRP$ journey\NN is\VBZ comfortable\JJ .\.
htd10109	Get\VB your\PRP$ reservation\NN done\VBN before\IN the\DT appointed\JJ date\NN so\IN that\IN you\PRP do\VBP not\RB have\VB the\DT problem\NN of\IN buying\VBG ticket\NN on\IN the\DT day\NN of\IN the\DT journey\NN .\.
htd10110	Definitely\RB note\VB the\DT time\NN of\IN departure\NN of\IN bus\NN ,\, rail\NN and\CC airplane\NN .\.
htd10111	Try\VB to\TO reach\VB before\IN the\DT appointed\JJ time\NN .\.
htd10112	The\DT clothes\NNS of\IN your\PRP$ wear\NN in\IN the\DT journey\NN be\VB comfortable\JJ ,\, neither\CC too\RB loose\JJ nor\CC too\RB tight\JJ ,\, so\IN that\IN on\IN sitting\VBG -\: getting\VBG up\RP ,\, in\IN climbing\VBG -\: getting\VBG down\IN there\EX is\VBZ no\DT discomfort\NN .\.
htd10113	Do\VBP not\RB take\VB and\CC eat\VB anything\NN from\IN any\DT stranger\NN .\.
htd10114	Some\DT people\NNS put\VBP travellers\NNS to\TO sleep\VB by\IN mixing\VBG intoxicating\JJ objects\NNS in\IN food\NN and\CC vanish\VB taking\VBG the\DT luggage\NN .\.
