ID	Value
htd15001	पश्‍चिमोत्तर\JJ हिमालय\N_NNP में\PSP स्थित\N_NN `जन्सकार`\N_NN देश\N_NN का\PSP सबसे\RP_INTF शुष्क\JJ एंव\CC_CCD शीत\JJ प्रदेश\N_NN है\V_VM ।\RD_PUNC
htd15002	लगभग\JJ 3\QT_QTC हजार\N_NN वर्गमीटर\N_NN में\PSP फैला\V_VM हुआ\V_VAUX यह\DM_DMD भूभाग\N_NN उत्तर\N_NN -\RD_PUNC पश्‍चिम\N_NN में\PSP कश्मीर\N_NNP ,\RD_PUNC दक्षिण\N_NN में\PSP लाहौल\N_NST ,\RD_PUNC पूर्व\N_NN में\PSP तिब्बत\N_NST एवं\CC_CCD पश्‍चिम\N_NN में\PSP किश्तवार\N_NNP से\PSP घिरा\V_VM हुआ\V_VAUX है\V_VAUX ।\RD_PUNC
htd15003	इसी\PR_PRL प्रदेश\N_NN में\PSP दो\QT_QTC विश्‍वप्रसिद्ध\JJ हिम\JJ शिखर\N_NN ’नुन’\N_NST और\CC_CCD ’खुन’\N_NST विद्यमान\N_NN हैं\V_VM ।\RD_PUNC
htd15004	इसी\PR_PRL कारण\N_NN प्राकृतिक\JJ सौंदर्य\N_NN ,\RD_PUNC बौद्ध\JJ गुफाओं\N_NN एवं\CC_CCD प्राचीन\JJ संस्कृति\N_NN के\PSP अतिरिक्‍त\N_NN यह\DM_DMD क्षेत्र\N_NN पर्वतारोहण\N_NN का\PSP भी\RP_RPD एक\QT_QTC प्रमुख\JJ आकर्षण\N_NN है\V_VM ।\RD_PUNC
htd15005	शीत\JJ ऋतु\N_NN में\PSP अत्यधिक\RP_INTF हिमपात\N_NN होने\V_VM पर\PSP जन्सकार\N_NN क्षेत्र\N_NN अत्यंत\RP_INTF ठंडा\JJ ,\RD_PUNC दुर्गम\JJ व\CC_CCD सर्वथा\N_NST निर्जन\JJ सा\RP_RPD हो\V_VM जाता\V_VAUX है\V_VAUX ।\RD_PUNC
htd15006	1834\QT_QTC में\PSP जम्मू\N_NNP -\RD_PUNC कश्‍मीर\N_NNP के\PSP डोगरा\N_NNP शासकों\N_NN के\PSP अधिपत्य\N_NN होने\V_VM से\PSP पहले\N_NST जन्सकार\N_NN लद्‍दाख\N_NNP के\PSP अंतर्गत\N_NN एक\QT_QTC स्वतंत्र\V_VM प्रदेश\N_NN था\V_VM ।\RD_PUNC
htd15007	जन्सकार\N_NN क्षेत्र\N_NN लिटिल\N_NNP तिब्बत\N_NNP के\PSP नाम\N_NN से\PSP भी\RP_RPD जाना\V_VM जाता\V_VAUX रहा\V_VAUX ।\RD_PUNC
htd15008	जन्सकार\N_NN प्रदेश\N_NN के\PSP गाँव\N_NN मुख्यत:\N_NN दो\QT_QTC प्रमुख\JJ नदियों\N_NN डांडा\N_NNP और\CC_CCD लिगली\N_NNP तथा\CC_CCD उनकी\PR_PRP सहायक\JJ नदियों\N_NN की\PSP घाटियों\N_NN में\PSP बसे\V_VM हैं\V_VAUX ।\RD_PUNC
htd15009	गाँव\N_NN बसाने\V_VM के\PSP लिए\PSP चुने\V_VM गये\V_VAUX स्थानों\N_NN ,\RD_PUNC नर-नारियों\N_NN की\PSP वेश-भूषा\N_NN ,\RD_PUNC धार्मिक\JJ त्योहारों\N_NN ,\RD_PUNC देवी\N_NN -\RD_PUNC देवताओं\N_NN के\PSP पूजन\N_NN पद्धति\N_NN एवं\CC_CCD रीति\N_NN -\RD_PUNC रिवाजों\N_NN पर\PSP यहाँ\DM_DMD की\PSP भौगोलिक\JJ स्थिति\N_NN एवं\CC_CCD जलवायु\N_NN का\PSP स्पष्‍ट\JJ प्रभाव\N_NN है\V_VM ।\RD_PUNC
htd15010	लोगों\N_NN का\PSP समाजिक\JJ एवं\CC_CCD धार्मिक\JJ जीवन\N_NN मठ\N_NN -\RD_PUNC मंदिरों\N_NN की\PSP पूजा\N_NN से\PSP ही\RP_RPD संचालित\N_NN होता\V_VM है\V_VAUX ।\RD_PUNC
