ID	Value
htd23001	This\DT is\VBZ the\DT place\NN of\IN the\DT incorporated\JJ prayer\NN of\IN Shiva\NNP and\CC Shakti\NNP .\.
htd23002	It\PRP is\VBZ also\RB known\VBN by\IN the\DT name\NN of\IN Chamunda\NNP Nandikeshwar\NNP .\.
htd23003	The\DT small\JJ line\NN which\WDT goes\VBZ to\TO Pathankot\NNP from\IN Paprola\NNP ,\, travellers\NNS can\MD get\VB off\RP at\IN Chamunda\NNP railway\NN station\NN after\IN traveling\VBG in\IN it\PRP .\.
htd23004	Chamunda\NNP railway\NN station\NN is\VBZ in\IN Malan\NNP .\.
htd23005	The\DT distance\NN of\IN the\DT temple\NN from\IN here\RB is\VBZ approximately\RB four\CD k\NN .\.N .\.
htd23006	Chamunda\NNP temple\NN can\MD be\VB gone\VBN to\TO by\IN personal\JJ vehicles\NNS or\CC bus\NN from\IN Malan\NNP .\.
htd23007	It\PRP can\MD be\VB reached\VBN from\IN Jwalaji\NNP to\TO Kangra\NNP in\IN two\CD hours\NNS and\CC from\IN Kangra\NNP to\TO Malan\NNP in\IN one\CD and\CC a\DT half\NN hours\NNS .\.
htd23008	The\DT temple\NN of\IN Chamunda\NNP Devi\NNP is\VBZ situated\VBN on\IN the\DT bank\NN of\IN the\DT Ban\NN -\: Ganga\NNP .\.
htd23009	This\DT has\VBZ remained\VBN an\DT area\NN with\IN the\DT lonely\JJ ,\, quiet\JJ and\CC natural\JJ energy\NN for\IN yogis\NNS ,\, seekers\NNS and\CC tantriks\NNS since\IN ancient\JJ times\NNS .\.
htd23010	Disciples\NNS coming\VBG here\RB do\VBP prayer\NN ,\, offerings\NNS and\CC mass\NN -\: offerings\NNS etc\NN with\IN chants\NNS of\IN Shiva\NNP and\CC Shakti\NNP .\.
htd23011	It\PRP is\VBZ clear\JJ from\IN the\DT ancient\JJ tradition\NN and\CC geographical\JJ position\NN of\IN the\DT temple\NN that\IN this\DT is\VBZ that\DT very\JJ place\NN where\WRB chand\NN -\: mund\JJ demons\NNS came\VBD to\TO fight\VB wars\NNS with\IN the\DT goddess\NN and\CC taking\VBG the\DT form\NN of\IN Kali\NNP the\DT goddess\NN put\VBD them\PRP to\TO the\DT sleep\NN of\IN death\NN .\.
htd23012	For\IN the\DT bathing\NN of\IN the\DT pilgrims\NNS there\EX is\VBZ a\DT terraced\JJ Sanjay\NNP ghat\NN made\VBN on\IN Ban\NN -\: Ganga\NNP here\RB .\.
htd23013	The\DT famous\JJ temple\NN of\IN Mansa\NNP Devi\NNP is\VBZ at\IN a\DT place\NN called\VBN Mani\NNP Majra\NNP near\IN Chandigarh\NNP .\.
