ID	Value
htd22001	मंदी\N_NN के\PSP इस\DM_DMR दौर\N_NN में\PSP राजस्थान\N_NNP की\PSP दो\QT_QTC शाही\JJ रेलगाड़ियों\N_NN के\PSP लिए\PSP नए\JJ पैकेज\N_NN तलाशे\N_NN जा\V_VM रहे\V_VAUX हैं\V_VAUX और\CC_CCD अगले\N_NST टूरिस्ट\N_NN सीजन\N_NN में\PSP हो\V_VM सकता\V_VAUX है\V_VAUX पैलेस\N_NNP ऑन\N_NNP व्हील्स\N_NNP पर\PSP कोई\DM_DMI लिज\N_NNP हर्ले\N_NNP या\CC_CCD अरुण\N_NNP नायर\N_NNP सरीखी\JJ सेलेब्रिटी\N_NN अपनी\PR_PRF शादी\N_NN रचाते\V_VM नजर\V_VM आएँ\V_VAUX ।\RD_PUNC
htd22002	जी\RP_RPD हाँ\RP_INJ ,\RD_PUNC ट्रेन\N_NN में\PSP शादी\N_NN और\CC_CCD रॉयल\N_NNP राजस्थान\N_NNP ऑन\N_NNP व्हील्स\N_NNP में\PSP हनीमून\N_NN के\PSP पैकेज\N_NN इन\PR_PRL गाड़ियों\N_NN का\PSP संचालन\N_NN सँभालने\V_VM वाले\PSP राजस्थान\N_NNP पर्यटन\N_NNP विकास\N_NNP निगम\N_NNP (\RD_PUNC आरटीडीसी\N_NNP )\RD_PUNC की\PSP योजनाओं\N_NN में\PSP शामिल\N_NN है\V_VM ।\RD_PUNC
htd22003	आरटीडीसी\N_NN ने\PSP बाकायदा\RB अपने\PR_PRF एजेंटों\N_NN को\PSP कहा\V_VM है\V_VAUX कि\CC_CCS वे\PR_PRP हॉलीवुड\N_NNP को\PSP इस\DM_DMR पैकेज\N_NN के\PSP लिए\PSP टारगेट\N_NN में\PSP रखें\V_VM ।\RD_PUNC
htd22004	नई\JJ योजना\N_NN में\PSP एक\QT_QTC और\CC_CCD अहम\JJ बात\N_NN इन\PR_PRP शाही\JJ गाड़ियाँ\N_NN के\PSP चलने\V_VM की\PSP अवधि\N_NN भी\RP_RPD बढाना\V_VM है\V_VAUX ।\RD_PUNC
htd22005	पहले\QT_QTO ये\DM_DMD गाड़ियाँ\N_NN सितंबर\N_NNP से\PSP अप्रैल\N_NNP तक\PSP चलती\V_VM थीं\V_VAUX ।\RD_PUNC
htd22006	अब\N_NST इन्हें\DM_DMR मई\N_NNP -\RD_PUNC जून\N_NNP की\PSP कड़कड़ाती\JJ गर्मियों\N_NN को\PSP छोड़कर\V_VM बाकी\QT_QTF पूरे\QT_QTF साल\N_NN चलाने\V_VM की\PSP योजना\N_NN है\V_VM ।\RD_PUNC
htd22007	पैलेस\N_NNP ऑन\N_NNP व्हील्स\N_NNP के\PSP बारे\N_NN में\PSP तो\RP_RPD हम\PR_PRP जानते\V_VM ही\RP_RPD हैं\V_VAUX कि\CC_CCS उसकी\PR_PRP 2010\QT_QTC तक\PSP की\PSP बुकिंग\N_NN है\V_VM ।\RD_PUNC
htd22008	लेकिन\CC_CCD इस\DM_DMR साल\N_NN नई\JJ चलाई\V_VM गई\V_VAUX ज्यादा\QT_QTF महँगी\JJ और\CC_CCD ज्यादा\QT_QTF सुविधाओं\N_NN वाली\PSP रॉयल\N_NNP राजस्थान\N_NNP ऑन\N_NNP व्हील्स\N_NNP की\PSP किस्मत\N_NN इतनी\QT_QTF अच्छी\JJ नहीं\RP_NEG रही\V_VM ।\RD_PUNC
htd22009	उसने\PR_PRP पहला\QT_QTO सीजन\N_NN रो-रोकर\V_VM पूरा\QT_QTF किया\V_VAUX है\V_VAUX ।\RD_PUNC
htd22010	अब\N_NST आरटीडीसी\N_NN को\PSP उम्मीद\N_NN है\V_VAUX कि\CC_CCS नए\JJ पैकेज\N_NN उसकी\PR_PRP किस्मत\N_NN सँवार\N_NN सकते\V_VM हैं\V_VAUX ।\RD_PUNC
