ID	Value
htd16001	महाकुंभ\N_NN मेले\N_NN में\PSP जाने\V_VM के\PSP बाद\V_VAUX सबसे\RP_INTF पहले\N_NST लोग\N_NN गंगा\N_NNP स्नान\N_NN करते\V_VM हैं\V_VAUX और\CC_CCD आस्था\N_NN के\PSP इस\DM_DMD सफर\N_NN के\PSP बाद\N_NST सामने\N_NNP आती\V_VM है\V_VAUX ’\RD_PUNC अब\N_NST क्या\PR_PRQ किया\V_VM जाए\V_VAUX ’\RD_PUNC की\PSP दुविधा\N_NN ।\RD_PUNC
htd16002	वैसे\CC_CCS ,\RD_PUNC गंगा\N_NNP स्नान\N_NN के\PSP बाद\N_NST आप\PR_PRP हरिद्वार\N_NNP में\PSP कई\QT_QTF जगह\N_NN घूम\N_NNP सकते\N_NNP हैं\V_VAUX ।\RD_PUNC
htd16003	इस\DM_DMD दौरान\PSP एक\QT_QTC ओर\N_NN जहाँ\PR_PRL आप\PR_PRP आस्था\N_NN के\PSP सागर\N_NN में\PSP गोते\N_NN लगाएँगे\V_VM ,\RD_PUNC वहीं\PR_PRL दूसरी\QT_QTO ओर\N_NN खुद\PR_PRF को\PSP रोमांच\N_NN के\PSP दरिया\N_NN में\PSP भी\RP_RPD महसूस\N_NN करेंगे\V_VM ।\RD_PUNC
htd16004	हरिद्वार\N_NNP के\PSP घाट\N_NN ’\RD_PUNC हर\N_NNP की\N_NNP पौड़ी\N_NNP ’\RD_PUNC पूरी\QT_QTF दुनिया\N_NN में\PSP मशहूर\N_NN है\V_VM और\CC_CCD ज्यादातर\QT_QTF लोग\N_NN इसी\DM_DMR जगह\N_NN स्नान\N_NN के\PSP लिए\PSP आते\V_VM हैं\V_VAUX ।\RD_PUNC
htd16005	इन\PR_PRP दिनों\N_NN चल\V_VM रहे\V_VAUX कुंभ\N_NN मेले\N_NN के\PSP दौरान\PSP आपको\PR_PRP साधु\N_NN -\RD_PUNC संतों\N_NN के\PSP खूब\QT_QTF दर्शन\N_NN होंगे\V_VM ।\RD_PUNC
htd16006	जब\PR_PRL आप\PR_PRP उनसे\PR_PRL आशीर्वाद\N_NN लेने\V_VM लगें\V_VAUX ,\RD_PUNC तो\RP_RPD उन्हें\PR_PRL इंग्लिश\N_NN बोलते\V_VM देख\V_VAUX हैरान\N_NN होने\V_VM की\PSP जरूरत\N_NN नहीं\RP_NEG है\V_VM ,\RD_PUNC क्योंकि\CC_CCS इनमें\PR_PRL से\PSP कई\QT_QTF आपको\PR_PRP डॉक्टर\N_NN या\CC_CCD वकील\N_NN तक\PSP मिलेंगे\V_VM ।\RD_PUNC
htd16007	मनसा\N_NNP देवी\N_NNP टेंपल\N_NNP ’\RD_PUNC बिलवा\N_NNP पर्वत\N_NNP ’\RD_PUNC पर\PSP है\V_VM और\CC_CCD यहाँ\DM_DMD रोजाना\N_NN हजारों\QT_QTF लोग\N_NN दर्शन\N_NN करने\V_VM पहुँचते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd16008	कहा\V_VM जाता\V_VAUX है\V_VAUX कि\CC_CCS जो\PR_PRL भी\RP_RPD व्यक्‍ति\N_NN यहाँ\DM_DMD सच्चे\JJ दिल\N_NN से\PSP माता\N_NN के\PSP दर्शन\N_NN करने\V_VM आता\V_VAUX है\V_VAUX ,\RD_PUNC उसकी\PR_PRL हर\QT_QTF मुराद\N_NN पूरी\QT_QTF होती\V_VM है\V_VAUX ।\RD_PUNC
htd16009	यहाँ\DM_DMD लगे\V_VM ’\RD_PUNC इच्छा\N_NN वृक्ष\N_NN ’\RD_PUNC के\PSP बारे\N_NN में\PSP भी\RP_RPD यही\DM_DMR कहा\V_VM जाता\V_VAUX है\V_VAUX ।\RD_PUNC
htd16010	यहाँ\DM_DMD आप\PR_PRP रोपवे\N_NN या\CC_CCD ट्रैकिंग\N_NN से\PSP पहुँच\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd16011	यह\DM_DMD मंदिर\N_NN नील\JJ पर्वत\N_NN पर\PSP है\V_VM और\CC_CCD इसके\PR_PRP साथ\PSP कई\QT_QTF पौराणिक\JJ कथाएँ\N_NN जुड़ी\V_VM हुई\V_VAUX हैं\V_VAUX ।\RD_PUNC
