ID	Value
htd5001	अमेरिका\N_NNP के\PSP लगभग\QT_QTF सभी\QT_QTF महानगरों\N_NN में\PSP हमें\PR_PRP बड़ी-बड़ी\JJ गगनचुंबी\JJ इमारतें\N_NN तथा\CC_CCD भागदौड़\N_NN वाली\PSP जिंदगी\N_NN देखने\V_VM को\PSP मिलती\V_VAUX है\V_VAUX ।\RD_PUNC
htd5002	पेनसिलवेनिया\N_NNP राज्य\N_NN के\PSP फिलाडेल्फिया\N_NNP में\PSP प्रवेश\N_NN करते\V_VM ही\RP_RPD हमें\PR_PRP यह\DM_DMD अमेरिका\N_NNP के\PSP दूसरे\QT_QTO महानगरों\N_NN से\PSP अलग\JJ कर\V_VM देता\V_VAUX है\V_VAUX ।\RD_PUNC
htd5003	यूरोप\N_NNP के\PSP नगरों\N_NN से\PSP यह\PR_PRP ज्यादा\QT_QTF करीब\N_NN है\V_VAUX ।\RD_PUNC
htd5004	फिलाडेल्फिया\N_NNP की\PSP अधिकांश\QT_QTF इमारतें\N_NN यूरोपीय\N_NNP शैली\N_NN की\PSP हैं\V_VAUX ।\RD_PUNC
htd5005	फिलाडेल्फिया\N_NNP ने\PSP पुराने\JJ स्वरूप\N_NN को\PSP आज\N_NST भी\RP_RPD सहेज\N_NN कर\V_VM रखा\V_VAUX है\V_VAUX ।\RD_PUNC
htd5006	फिलाडेल्फिया\N_NNP एक\QT_QTC जीवंत\JJ तथा\CC_CCD चहलपहल\N_NN वाला\PSP पर्यटन\N_NN स्थल\N_NN है\V_VAUX ।\RD_PUNC
htd5007	फिलाडेल्फिया\N_NNP नगर\N_NN का\PSP मध्य\N_NST भाग\N_NN पश्‍चिम\N_NST में\PSP स्कूलकिल\N_NNP नदी\N_NN से\PSP ले\V_VM कर\V_VAUX दूसरी\QT_QTO ओर\CC_CCD पूर्व\N_NST में\PSP डेलावेयर\N_NNP नदी\N_NN तक\PSP लगभग\QT_QTF 2\QT_QTC मील\N_NN की\PSP दूरी\N_NN तक\PSP फैला\V_VM हुआ\V_VAUX है\V_VAUX ।\RD_PUNC
htd5008	इस\DM_DMD के\PSP सभी\QT_QTF दर्शनीय\JJ स्थल\N_NN नगर\N_NN के\PSP केंद्रीय\N_NST भाग\N_NN में\PSP ही\RP_RPD स्थित\V_VM हैं\V_VAUX ।\RD_PUNC
htd5009	ये\DM_DMD सारे\QT_QTF एक\QT_QTC दूसरे\QT_QTO से\PSP इतने\QT_QTF लगे\V_VM हुए\V_VAUX हैं\V_VAUX कि\CC_CCS आप\PR_PRP पैदल\N_NN घूम\V_VM कर\V_VAUX इन्हें\PR_PRP आसानी\RB से\PSP देख\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd5010	आप\PR_PRP फिलाडेल्फिया\N_NNP नगर\N_NN का\PSP भ्रमण\N_NN इंडिपेंडेंस\N_NNP नेशनल\N_NNP हिस्टोरिक\N_NNP पार्क\N_NN से\PSP शुरू\V_VM कर\V_VAUX सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd5011	इस\DM_DMD एक\QT_QTC मील\N_NN के\PSP दायरे\N_NN में\PSP अमेरिका\N_NNP का\PSP बहुमूल्य\JJ इतिहास\N_NN छिपा\V_VM हुआ\V_VAUX है\V_VAUX ।\RD_PUNC
htd5012	इंडिपेंडेंस\N_NNP नेशनल\N_NNP हिस्टोरिक\N_NNP पार्क\N_NN पश्‍चिम\N_NST में\PSP डेलावेयर\N_NNP नदी\N_NN अर्थात\CC_CCS वालनट\N_NN तथा\CC_CCD आर्च\N_NNP स्ट्रीट\N_NN तक\PSP फैला\V_VM हुआ\V_VAUX है\V_VAUX ।\RD_PUNC
htd5013	यहाँ\DM_DMD घूमने\V_VM में\PSP आपका\PR_PRP पूरा\QT_QTF दिन\N_NN लग\V_VM सकता\V_VAUX है\V_VAUX ।\RD_PUNC
htd5014	यहाँ\DM_DMD बनी\V_VM लाल\JJ ईंट\N_NN की\PSP इमारतें\N_NN जार्जियन\N_NNP शिल्पकला\N_NN की\PSP सर्वोत्तम\RP_INTF मिसाल\N_NN हैं\V_VAUX ।\RD_PUNC
htd5015	मार्केट\N_NNP स्ट्रीट\N_NN के\PSP पश्‍चिम\N_NST में\PSP 2\QT_QTC सर्वश्रेष्‍ठ\RP_INTF संग्रहालय\N_NN स्थित\V_VM हैं\V_VAUX ।\RD_PUNC
htd5016	इन\PR_PRP में\PSP से\PSP एक\QT_QTC अमेरिका\N_NNP के\PSP यहूदी\N_NNP लोगों\N_NN के\PSP इतिहास\N_NN तथा\CC_CCD संस्कृति\N_NN को\PSP समर्पित\V_VM है\V_VAUX ।\RD_PUNC
htd5017	यहाँ\DM_DMD यहूदियों\N_NNP का\PSP एक\QT_QTC पूजास्थल\N_NN सिनोगाग\N_NNP तथा\CC_CCD धार्मिक\JJ स्वतंत्रता\N_NN की\PSP मूर्ति\N_NN भी\RP_RPD आप\PR_PRP को\PSP देखने\V_VM को\PSP मिलेगी\V_VAUX ।\RD_PUNC
htd5018	दूसरा\QT_QTO संग्रहालय\N_NN फिलाडेल्फिया\N_NNP के\PSP उन\DM_DMD अश्‍वेत\JJ अफ्रीकी\N_NNP अमेरिकियों\N_NNP की\PSP कहानी\N_NN बयाँ\V_VM करता\V_VAUX है\V_VAUX ।\RD_PUNC
htd5019	ये\DM_DMD 20वीं\QT_QTO सदी\N_NN के\PSP शुरू\N_NST में\PSP अमेरिकी\N_NNP पुनर्निर्माण\N_NN के\PSP दौरान\PSP यहाँ\DM_DMD आ\V_VM कर\V_VAUX बस\V_VAUX गए\V_VAUX थे\V_VAUX ।\RD_PUNC
htd5020	यहाँ\DM_DMD से\PSP थोड़ी\QT_QTF दूर\N_NST पर\PSP स्थित\V_VM है\V_VAUX अमेरिका\N_NNP के\PSP सुप्रसिद्ध\JJ कवि\N_NN ,\RD_PUNC कथाकार\N_NN ,\RD_PUNC संपादक\N_NN तथा\CC_CCD साहित्यिक\N_NN आलोचक\N_NN एडगर\N_NNP एलन\N_NNP पो\N_NNP की\PSP स्मृति\N_NN में\PSP बनाया\V_VM गया\V_VAUX संग्रहालय\N_NN ।\RD_PUNC
htd5021	इस\DM_DMD इलाके\N_NN में\PSP कुछ\QT_QTF सुंदर\JJ कलादीर्घाएँ\N_NN भी\RP_RPD हैं\V_VAUX ।\RD_PUNC
htd5022	रिटेन\N_NNP हाउस\N_NN स्क्वायर\N_NNP फिलाडेल्फिया\PR_PRP का\PSP सबसे\RP_INTF फैशनेबल\JJ इलाका\N_NN है\V_VAUX ।\RD_PUNC
htd5023	इस\DM_DMD के\PSP एक\QT_QTC किनारे\N_NN पर\PSP वालनट\N_NNP स्ट्रीट\N_NN का\PSP आधुनिकतम\JJ बाजार\N_NN है\V_VAUX ।\RD_PUNC
htd5024	दूसरे\QT_QTO किनारे\N_NN पर\PSP लाल\JJ रंग\N_NN के\PSP पत्थरों\N_NN से\PSP बने\V_VM मकानों\N_NN का\PSP रिहायशी\JJ इलाका\N_NN है\V_VAUX ।\RD_PUNC
htd5025	यहाँ\DM_DMD के\PSP एक\QT_QTC संग्रहालय\N_NN में\PSP आप\PR_PRP को\PSP 30\QT_QTC हजार\QT_QTC से\PSP भी\RP_RPD अधिक\RP_INTF दुर्लभ\JJ पुस्तकें\N_NN देखने\V_VM को\PSP मिलेंगीं\V_VAUX ।\RD_PUNC
htd5026	इस\DM_DMD संग्रहालय\N_NN से\PSP थोड़ी\QT_QTF दूर\N_NST पर\PSP एक\QT_QTC अन्य\QT_QTF अजीबोगरीब\JJ संग्रहालय\N_NN है\V_VAUX ।\RD_PUNC
htd5027	यहाँ\DM_DMD पर\PSP आपका\PR_PRP जी\N_NN मिचला\V_VM देने\V_VAUX वाली\PSP मोम\N_NN की\PSP गिल्टी\N_NN देखने\V_VM को\PSP मिलेगी\V_VAUX ।\RD_PUNC
htd5028	त्वचा\N_NN के\PSP संक्रामक\JJ रोगों\N_NN को\PSP दर्शाने\V_VM वाले\PSP मॉडल\N_NN के\PSP अलावा\N_NN अनेक\QT_QTF अस्थिपंजर\N_NN भी\RP_RPD हैं\V_VAUX ।\RD_PUNC
htd5029	अंत\N_NN में\PSP मोम\N_NN के\PSP बने\V_VM जुड़वाँ\JJ बच्चे\N_NN भी\RP_RPD देखने\V_VM को\PSP मिलेंगे\V_VAUX ।\RD_PUNC
htd5030	एक\QT_QTC मील\N_NN दूरी\N_NST पर\PSP स्थित\V_VM है\V_VAUX फिलाडेल्फिया\N_NNP म्यूजियम\N_NN आफ\PSP आर्ट\N_NN ।\RD_PUNC
htd5031	यहाँ\DM_DMD आप\PR_PRP को\PSP कुछ\QT_QTF दुर्लभ\JJ प्राचीन\JJ कलाकृतियों\N_NN के\PSP नमूने\N_NN देखने\V_VM को\PSP मिलेंगे\V_VAUX ।\RD_PUNC
htd5032	अगर\CC_CCS आप\PR_PRP फ्रेंकलिन\N_NNP पार्क\N_NN से\PSP थोड़ा\QT_QTF आगे\N_NST चले\V_VM जाएँ\V_VAUX तो\CC_CCS संगमरमर\N_NN की\PSP दीवारों\N_NN से\PSP घिरे\V_VM रोडिन\N_NNP संग्रहालय\N_NN पहुँच\V_VM जाएँगे\V_VAUX ।\RD_PUNC
htd5033	पुस्तकालय\N_NN के\PSP पास\N_NST में\PSP ही\RP_RPD है\V_VAUX फ्रेंकलिन\N_NNP इंस्टीट्यूट\N_NN का\PSP विशाल\JJ साइंस\N_NNP म्यूजियम\N_NN है\V_VAUX ।\RD_PUNC
htd5034	म्यूजियम\N_NN में\PSP प्लेनेटोरियम\N_NNP ,\RD_PUNC आईमैक्स\N_NNP थिएटर\N_NN तथा\CC_CCD मैनडेल\N_NNP फ्यूचर्स\N_NNP सेंटर\N_NN देखने\V_VM लायक\N_NN हैं\N_NN ।\RD_PUNC
htd5035	यहाँ\DM_DMD आप\PR_PRP को\PSP डायनोसोर\N_NN ,\RD_PUNC मिस्र\N_NNP की\PSP ममी\N_NN तथा\CC_CCD अनेक\QT_QTF दुर्लभ\JJ रत्‍न\N_NN भी\RP_RPD देखने\V_VM को\PSP मिलेंगे\V_VAUX ।\RD_PUNC
htd5036	नगर\N_NN के\PSP पश्‍चिमी\N_NST भाग\N_NN में\PSP पेनसिलवेनिया\N_NNP का\PSP प्रसिद्ध\JJ आइवी\N_NNP लीग\N_NNP विश्‍वविद्यालय\N_NN स्थित\V_VM है\V_VAUX ।\RD_PUNC
htd5037	यहाँ\DM_DMD फ्रेंकलिन\N_NNP ने\PSP अमेरिका\N_NNP का\PSP पहला\QT_QTO मेडिकल\JJ स्कूल\N_NN स्थापित\V_VM किया\V_VAUX था\V_VAUX ।\RD_PUNC
htd5038	साउथ\N_NNP स्ट्रीट\N_NN पहले\N_NST इस\DM_DMD महानगर\N_NN की\PSP सीमा\N_NN हुआ\V_VM करती\V_VAUX थी\V_VAUX ।\RD_PUNC
htd5039	अब\N_NST साउथ\N_NNP स्ट्रीट\N_NN फिलाडेल्फिया\N_NNP की\PSP नाइट\N_NN लाइफ\N_NN का\PSP मुख्य\JJ केंद्र\N_NN है\V_VAUX ।\RD_PUNC
htd5040	दिन\N_NN में\PSP इस\DM_DMD सड़क\N_NN पर\PSP स्थित\V_VM कैफे\N_NN ,\RD_PUNC रेस्तराँ\N_NN तथा\CC_CCD दुकानों\N_NN में\PSP अपना\PR_PRF समय\N_NN बिताते\V_VM हैं\V_VAUX ।\RD_PUNC
htd5041	बाद\N_NST में\PSP रात\N_NN को\PSP इस\DM_DMD के\PSP बार\N_NN तथा\CC_CCD नृत्यालयों\N_NN में\PSP आप\PR_PRP वहाँ\DM_DMD की\PSP नाइट\N_NN लाइफ\N_NN का\PSP जायज़ा\JJ भी\RP_RPD ले\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd5042	कर्नाटक\N_NNP राज्य\N_NN के\PSP हासन\N_NNP जिले\N_NN में\PSP स्थित\V_VM श्रावणबेलागोला\N_NNP जैन\N_NNP धर्म\N_NN में\PSP आस्था\N_NN रखने\V_VM वालों\PSP की\PSP पावन\JJ स्थली\N_NN है\V_VAUX ।\RD_PUNC
htd5043	श्रावणबेलागोला\N_NNP ,\RD_PUNC राजधानी\N_NN बेंगलूरु\N_NNP से\PSP करीब\RB 150\QT_QTC किलोमीटर\N_NN की\PSP दूरी\N_NST पर\PSP स्थित\V_VM है\V_VAUX ।\RD_PUNC
htd5044	चन्द्रगिरी\N_NNP व\N_NN विंध्‍यागिरी\N_NNP पहाड़ियों\N_NN के\PSP मध्य\N_NST स्थित\V_VM यह\QT_QTC स्थल\N_NN राष्‍ट्रीय\JJ धरोहर\N_NN है\V_VAUX ।\RD_PUNC
htd5045	यहाँ\DM_DMD स्थित\V_VM अनेक\QT_QTF मंदिर\N_NN प्राचीन\JJ और\CC_CCD मध्यकालीन\JJ भारत\N_NN की\PSP अनूठी\JJ शिल्पकला\N_NN व\CC_CCD वास्तुकला\N_NN के\PSP बेजोड़\JJ नमूने\N_NN हैं\V_VAUX ।\RD_PUNC
htd5046	किन्तु\CC_CCD यहाँ\DM_DMD पर\PSP विद्‍यमान\V_VM भगवान\N_NN बाहुबलि\N_NNP ,\RD_PUNC जिन्हें\PR_PRL गोमतेश्‍वरजी\N_NNP भी\RP_RPD कहा\V_VM जाता\V_VAUX है\V_VAUX ।\RD_PUNC
htd5047	गोमतेश्‍वरजी\N_NNP की\PSP 57\QT_QTC फुट\N_NN ऊँची\JJ प्रतिमा\N_NN विश्‍व\N_NN प्रसिद्ध\JJ है\V_VAUX ।\RD_PUNC
htd5048	इस\DM_DMD मूर्ति\N_NN का\PSP इतिहास\N_NN 1024\QT_QTC वर्ष\N_NN पुराना\JJ है\V_VAUX ।\RD_PUNC
htd5049	एक\QT_QTC ही\RP_RPD शिलाखण्‍ड\N_NN को\PSP तराश\V_VM कर\V_VAUX बनाई\V_VM गई\V_VAUX यह\DM_DMD मूर्ति\N_NN जो\PR_PRL भी\RP_RPD देखता\V_VM है\V_VAUX वह\PR_PRP इसकी\DM_DMD सुन्दरता\N_NN व\CC_CCD भव्यता\N_NN पर\PSP मंत्रमुग्ध\JJ हो\V_VM जाता\V_VAUX है\V_VAUX ।\RD_PUNC
