ID	Value
htd19001	उत्तरकाशी\N_NNP का\PSP प्राचीन\JJ नाम\N_NN बाड़ाहाट\N_NNP और\CC_CCD सौम्यकाशी\N_NNP भी\RP_RPD था\V_VM ।\RD_PUNC
htd19002	यह\DM_DMR नगर\N_NN जनपद\N_NN का\PSP केन्द्र\N_NN बन\V_VM जाने\V_VAUX के\PSP पश्‍चात\N_NN उत्तरकाशी\N_NNP नाम\N_NN से\RP_RPD प्रसिद्ध\N_NN हुआ\V_VM ।\RD_PUNC
htd19003	यहाँ\DM_DMR पर\PSP गंगा\N_NNP उत्तरवाहिनी\N_NNP होकर\V_VM बहती\V_VM है\V_VAUX इसलिए\CC_CCS इसे\DM_DMR उत्तरकाशी\N_NNP कहा\V_VM गया\V_VAUX है\V_VAUX ।\RD_PUNC
htd19004	यहाँ\DM_DMR पर\PSP पूर्वकाशी\N_NNP वाराणसी\N_NNP के\PSP समान\N_NN अनेक\QT_QTF मन्दिर\N_NN स्थित\N_NN हैं\V_VM ।\RD_PUNC
htd19005	वाराणसी\N_NNP विशाल\JJ ,\RD_PUNC बड़ी\JJ जनसंख्या\N_NN ,\RD_PUNC भव्य\JJ भवनों\N_NN ,\RD_PUNC शोरगुल\N_NN भरा\QT_QTF आधुनिक\JJ नगर\N_NN है\V_VM ।\RD_PUNC
htd19006	उसके\PR_PRL विपरीत\N_NN उत्तरकाशी\N_NNP हिमालय\N_NNP का\PSP एक\QT_QTC स्वच्छ\JJ ,\RD_PUNC शान्त\JJ प्राचीन\JJ परम्पराओं\N_NN से\RP_RPD पल्लवित\N_NN -\RD_PUNC पोषित\N_NN होता\V_VM हुआ\V_VAUX एक\QT_QTC छोटा-सा\JJ नगर\N_NN है\V_VM ।\RD_PUNC
htd19007	इस\DM_DMR नगरी\N_NN की\PSP पहचान\N_NN यहाँ\DM_DMR के\PSP असंख्य\JJ देवी\N_NN -\RD_PUNC देवताओं\N_NN के\PSP मन्दिर\N_NN ,\RD_PUNC गंगा\N_NN की\PSP धाराओं\N_NN का\PSP निरन्तर\JJ प्रवाह\N_NN ,\RD_PUNC साधु\N_NN -\RD_PUNC सन्तों\N_NN का\PSP भक्‍ति\N_NN में\PSP लीन\JJ संकीर्तन\N_NN और\CC_CCD स्वच्छ\JJ वातावरण\N_NN से\RP_RPD होती\V_VM है\V_VAUX ।\RD_PUNC
htd19008	इस\DM_DMR नगरी\N_NN में\PSP प्रवेश\N_NN करते\V_VM ही\RP_RPD मानव\N_NN हृदय\N_NN धार्मिक\JJ भावना\N_NN से\RP_RPD भर\QT_QTF जाता\V_VM है\V_VAUX ।\RD_PUNC
htd19009	कठोर\JJ हृदय\N_NN व्यक्‍ति\N_NN जब\PR_PRL यहाँ\DM_DMR पर\PSP प्रवेश\N_NN करता\V_VM है\V_VAUX ,\RD_PUNC तो\RP_RPD उसका\PR_PRL मन\N_NN कोमल\N_NN हो\V_VM जाता\V_VAUX है\V_VAUX ।\RD_PUNC
htd19010	क्रोधी\JJ परशुराम\N_NNP ने\PSP इस\DM_DMR पृथ्वी\N_NN को\PSP 21\QT_QTC बार\N_NN क्षत्रिय\N_NN विहीन\N_NN कर\V_VM दिया\V_VAUX था\V_VAUX ।\RD_PUNC
htd19011	अन्तत:\CC_CCS इसी\DM_DMR वारणावत\JJ क्षेत्र\N_NN में\PSP शिवाराधना\N_NN से\RP_RPD उन्हें\PR_PRL शान्ति\N_NN प्राप्‍त\V_VM हुई\V_VM थी\V_VAUX और\CC_CCD उनका\PR_PRP स्वभाव\N_NN सौम्य\JJ हुआ\V_VM था\V_VAUX ।\RD_PUNC
htd19012	पौराणिक\JJ काल\N_NN में\PSP यह\DM_DMR क्षेत्र\N_NN अनेक\QT_QTF प्रसिद्ध\JJ ऋषियों\N_NN की\PSP तपस्थली\N_NN थी\V_VM ।\RD_PUNC
