id	value
htd1001	शिमला\N_NNP पर्यटकों\N_NN के\PSP लिए\PSP एक\QT_QTC अद्भुत\JJ अनुभव\N_NN प्रदान\N_NN करता\V_VM है\V_VAUX ।\RD_PUNC
htd1002	1819\QT_QTC में\PSP जब\CC_CCD अंगरेजों\N_NN ने\PSP शिमला\N_NNP की\PSP खोज\V_VM की\V_VAUX थी\V_VAUX तब\CC_CCS यहाँ\DM_DMD ऊँचे\JJ -\RD_PUNC ऊँचे\JJ देवदार\N_NN और\CC_CCD चीड़\N_NN के\PSP घने\JJ पेड़ों\N_NN के\PSP अलावा\CC_CCD कुछ\QT_QTF नहीं\RP_NEG था\V_VAUX ।\RD_PUNC
htd1003	अंगरेजों\N_NN ने\PSP शिमला\N_NNP को\PSP बसाया\V_VM और\CC_CCD 1864\QT_QTC से\PSP 1939\QT_QTC तक\PSP यह\DM_DMD शहर\N_NN कोलकाता\N_NNP की\PSP गर्मी\N_NN से\PSP बचने\V_VM के\PSP लिए\PSP अंगरेजों\N_NN की\PSP शीतकालीन\JJ राजधानी\N_NN बना\V_VM रहा\V_VAUX ।\RD_PUNC
htd1004	अपनी\PR_PRF सुविधा\N_NN के\PSP लिए\PSP अंग्रेजों\N_NN ने\PSP शिमला\N_NNP को\PSP 1903\QT_QTC में\PSP ही\RP_RPD रेलवे\N_NN लाइन\N_NN द्वारा\PSP पूरे\JJ देश\N_NN से\PSP जोड़\V_VM दिया\V_VAUX था\V_VAUX ।\RD_PUNC
htd1005	देश\N_NN आजाद\N_NN होने\V_VM पर\PSP शिमला\N_NNP पंजाब\N_NNP राज्य\N_NN का\PSP हिस्सा\N_NN था\V_VM ।\RD_PUNC
htd1006	1966\QT_QTC के\PSP बाद\N_NST इसे\PR_PRL भारत\N_NNP सरकार\N_NN ने\PSP हिमाचल\N_NNP प्रदेश\N_NN की\PSP राजधानी\N_NN घोषित\V_VM किया\V_VAUX ।\RD_PUNC 
htd1007	समुद्रतल\N_NN से\PSP 2\QT_QTC ,\RD_PUNC 159\QT_QTC मीटर\N_NN की\PSP ऊँचाई\JJ पर\PSP स्थित\V_VM होने\V_VM के\PSP कारण\N_NN शिमला\N_NNP ठंडी\JJ जलवायु\N_NN वाला\PSP नगर\N_NN है\V_VAUX ।\RD_PUNC
htd1008	लंबीचौड़ी\JJ अर्धचंद्राकार\JJ पहाड़ी\N_NN पर\PSP बसा\V_VM शिमला\N_NNP आज\RB काफी\JJ घनी\JJ आबादी\N_NN वाला\PSP शहर\N_NN बन\V_VM चुका\V_VM है\V_VAUX ।\RD_PUNC
htd1009	शिमला\N_NNP की\PSP स्वास्थ्यवर्धक\JJ जलवायु\N_NN और\CC_CCD हिमालय\N_NNP के\PSP आसपास\N_NST की\PSP संरचना\N_NN इसे\PR_PRL दूसरे\QT_QTO पर्यटन\N_NN स्थलों\N_NN से\PSP अलग\N_NN बनाती\V_VM है\V_VAUX ।\RD_PUNC
htd1010	औपनिवेशिक\N_NN काल\N_NN के\PSP दौरान\RB बना\V_VM शिमला\N_NNP शांति\JJ की\PSP तलाश\N_NN में\PSP लोगों\N_NN के\PSP लिए\PSP एक\QT_QTC स्वर्ग\N_NN है\V_VAUX ।\RD_PUNC
