ID	Value
htd20001	गुजराती\N_NN में\PSP जूनागढ़\N_NNP का\PSP मतलब\N_NN प्राचीन\JJ किला\N_NN होता\V_VM है\V_VAUX ।\RD_PUNC
htd20002	अगर\CC_CCS आप\PR_PRP भी\RP_RPD पुराने\JJ किलों\N_NN और\N_NN वाइल्ड\N_NN लाइफ\N_NN का\N_NN अनोखा\JJ संगम\N_NN देखना\V_VM चाहते\V_VAUX हैं\V_VAUX तो\RP_RPD चले\V_VM आइए\V_VAUX गुजरात\N_NNP स्थित\V_VM जूनागढ़\N_NNP ।\RD_PUNC
htd20003	माना\V_VM जाता\V_VAUX है\V_VAUX कि\CC_CCS अपरकोट\N_NNP किला\N_NNP यादवों\N_NNP की\RP_RPD खूबी\JJ है\V_VM कि\CC_CCS कहीं-कहीं\RD_ECH इसकी\PR_PRL दीवारें\N_NN 20\QT_QTC मीटर\N_NN तक\RP_RPD ऊँची\JJ हैं\V_VM ।\RD_PUNC
htd20004	इसकी\PR_PRL दीवारों\N_NN पर\PSP की\V_VM गई\V_VAUX नक्काशी\N_NN अब\N_NST तक\RP_RPD सुरक्षित\JJ है\V_VM ।\RD_PUNC
htd20005	इन\DM_DMR तमाम\QT_QTF चीजों\N_NN के\N_NN अलावा\N_NN ,\RD_PUNC किले\N_NN के\N_NN पश्‍चिम\N_NNP दीवार\N_NN पर\PSP रखी\V_VM दो\QT_QTC तोपें\N_NN भी\RP_RPD यहाँ\N_NST आने\V_VM वालों\PSP के\N_NN आकर्षण\N_NN का\N_NN बड़ा\JJ केन्द्र\N_NN हैं\V_VM ।\RD_PUNC
htd20006	इनका\PR_PRL निर्माण\N_NN मिस्र\N_NNP में\N_NN हुआ\V_VM था\V_VAUX ।\RD_PUNC
htd20007	इस\DM_DMR किले\N_NN के\PSP चारों\QT_QTC और\CC_CCD बौद्ध\N_NNP गुफाएँ\N_NN हैं\V_VM ।\RD_PUNC
htd20008	किले\N_NN के\PSP एक\QT_QTC भाग\N_NN में\PSP दो\QT_QTC खूबसूरत\JJ बावड़ियाँ\N_NN हैं\V_VM ।\RD_PUNC
htd20009	जूनागढ़\N_NNP गुजरात\N_NNP के\PSP कुछ\QT_QTF प्रसिद्ध\JJ शहरों\N_NN में\PSP से\PSP एक\QT_QTC है\V_VM ।\RD_PUNC
htd20010	मंदिरों\N_NN की\PSP भूमि\N_NN जूनागढ़\N_NNP गिरनार\N_NNP हिल्स\N_NNP की\PSP गोद\N_NN में\PSP बसा\V_VM है\V_VAUX ।\RD_PUNC
htd20011	वैसे\CC_CCS तो\RP_RPD जूनागढ़\N_NNP में\PSP आपको\PR_PRP देखने\V_VM के\PSP लिए\PSP बहुत\QT_QTF कुछ\QT_QTF मिल\V_VM जाएगा\V_VAUX ,\RD_PUNC लेकिन\CC_CCD यहाँ\DM_DMD की\PSP वाइल्ड\N_NN लाइफ\N_NN बहुत\QT_QTF पॉपुलर\JJ है\V_VM ।\RD_PUNC
htd20012	इसके\DM_DMR अलावा\N_NN ,\RD_PUNC यहाँ\DM_DMR मौजूद\N_NN प्राचीन\JJ मंदिर\N_NN व\CC_CCD गुफाएँ\N_NN भी\RP_RPD आप\PR_PRP देख\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd20013	जूनागढ़\N_NNP के\PSP बाहरी\N_NST इलाके\N_NN में\PSP गिरनार\N_NNP पहाड़ियों\N_NN पर\PSP स्थित\V_VM है\V_VAUX गिरनार\N_NNP मंदिर\N_NNP ।\RD_PUNC
htd20014	शहर\N_NN से\PSP लगभग\QT_QTF दो\QT_QTC घंटे\N_NN की\PSP ड्राइव\N_NN के\PSP बाद\N_NST यहाँ\DM_DMD पहुँचा\V_VM जा\V_VAUX सकता\V_VAUX है\V_VAUX ।\RD_PUNC
htd20015	मंदिर\N_NN तक\PSP पहुँचने\V_VM के\PSP लिए\PSP आपको\PR_PRP कई\QT_QTF हजार\N_NN सीढ़ियाँ\N_NN चढ़नी\V_VM पड़ती\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd20016	गिरनार\N_NNP कभी\QT_QTF मुस्लिम\N_NNP शासक\N_NN बाबी\N_NNP नवाब\N_NNP के\PSP राज्य\N_NN जूनागढ़\N_NNP की\PSP राजधानी\N_NN था\V_VM ।\RD_PUNC
htd20017	आप\PR_PRP यहाँ\DM_DMD प्राचीन\JJ मंदिर\N_NN व\N_NN गुफाएँ\N_NN देख\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd20018	इन\DM_DMR पर\PSP बेहद\RP_INTF ही\RP_RPD खूबसूरत\JJ नक्काशी\N_NN का\PSP काम\N_NN भी\RP_RPD देखने\V_VM को\PSP मिलता\V_VM है\V_VAUX ।\RD_PUNC
htd20019	गिरनार\N_NNP के\PSP रास्ते\N_NN में\PSP आपको\PR_PRP कई\QT_QTF जगह\N_NN अशोक\N_NNP द्वारा\PSP लगाए\V_VM गए\V_VAUX शिलालेख\N_NN नजर\N_NN आएँगे\V_VM ।\RD_PUNC
htd20020	यह\DM_DMD शिलालेख\N_NN बहुत\QT_QTF बड़े\JJ पत्थरों\N_NN पर\PSP बने\V_VM हैं\V_VAUX ।\RD_PUNC
htd20021	इन\DM_DMR शिलालेखों\N_NN पर\PSP राजकीय\JJ आदेश\N_NN खुदे\V_VM हुए\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd20022	ये\DM_DMD शिलालेख\N_NN तीसरी\QT_QTC सदी\N_NN ईसा\N_NN पूर्व\N_NST बनाए\V_VM गए\V_VAUX थे\V_VAUX ।\RD_PUNC
htd20023	अगर\CC_CCS आप\PR_PRP जूनागढ़\N_NNP घूमने\V_VM गए\V_VAUX हैं\V_VAUX ,\RD_PUNC तो\RP_RPD वहाँ\N_NN की\PSP वाइल्ड\N_NN लाइफ\N_NN जरूर\N_NN घूमने\V_VM जाएँ\V_VAUX ।\RD_PUNC
