ID	Value
htd1	One\CD gets\VBZ Moksha\NNP with\IN a\DT visit\NN to\TO the\DT Saptapuris\NNPS !\.
htd2	Pilgrimage\NN is\VBZ of\IN utmost\JJ importance\NN in\IN Hinduism\NNP .\.
htd3	Although\IN all\PDT the\DT pilgrimages\NNS are\VBP major\JJ and\CC important\JJ ,\, there\EX is\VBZ a\DT great\JJ importance\NN and\CC acceptance\NN of\IN the\DT seven\CD places\NNS .\.
htd4	All\DT of\IN these\DT seven\CD religious\JJ places\NNS are\VBP described\VBN as\IN the\DT Seven\NNP Places\NNPS or\CC Saptpuris\NNPS in\IN the\DT scriptures\NNS .\.
htd5	It\PRP has\VBZ been\VBN stated\VBN that\IN a\DT view\NN of\IN the\DT Saptapuris\NNP in\IN the\DT Chaturmas\NNP is\VBZ worth\JJ providing\VBG Moksha\NNP for\IN .\.
htd6	Its\PRP$ name\NN is\VBZ Banaras\NNP or\CC Varanasi\NNP also\RB .\.
htd7	This\DT is\VBZ a\DT famous\JJ abode\NN of\IN Lord\NNP Shiva\NNP .\.
htd8	7\CD miles\NNS away\RB from\IN the\DT Mughal\NNP Sarai\NNP Station\NNP on\IN the\DT main\JJ railway\NN line\NN going\VBG from\IN Mughal\NNP Sarai\NNP to\TO Amritsar\NNP and\CC Dehradun\NNP there\EX is\VBZ Kashi\NNP and\CC 4\CD miles\NNS ahead\RB from\IN it\PRP there\EX is\VBZ Banaras\NNP Cantonment\NNP Station\NNP .\.
htd9	A\DT direct\JJ line\NN from\IN the\DT Prayag\NNP Station\NNP of\IN Allahabad\NNP also\RB goes\VBZ to\TO Banaras\NNP Cantonment\NNP through\IN Kashi\NNP .\.
htd10	One\CD line\NN from\IN Bhatni\NNP and\CC another\DT from\IN Chhapra\NNP of\IN the\DT Northeastern\NNP Railway\NNP goes\VBZ up\RP to\TO Allahabad\NNP City\NNP .\.
htd11	One\CD can\MD go\VB to\TO the\DT Cantonment\NNP through\IN Banaras\NNP City\NNP with\IN this\DT route\NN too\RB .\.
htd12	Ganges\NNP ,\, the\DT purgator\NN of\IN the\DT fallen\VBN ,\, enters\VBZ the\DT plains\NNS leaving\VBG mountainous\JJ areas\NNS in\IN Haridwar\NNP .\.
htd13	That\DT is\VBZ why\WRB Haridwar\NNP is\VBZ also\RB called\VBN the\DT Gate\NN of\IN the\DT Ganges\NNP .\.
