ID	Value
htd13001	Showing\VBG ancient\JJ grandeur\NN of\IN Rajasthan\NNP the\DT havelis\NNS here\RB are\VBP famous\JJ for\IN unique\JJ carvings\NNS and\CC luxury\NN outing\NN .\.
htd13002	Tourists\NNS queue\VBP up\RP to\TO see\VB these\DT havelis\NNS .\.
htd13003	In\IN Bikaner\NNP and\CC Jaisalmer\NNP some\DT havelis\NNS are\VBP famous\JJ for\IN particular\JJ reasons\NNS .\.
htd13004	Rampuria\NN haveli\NN of\IN Bikaner\NNP ,\, haveli\NN of\IN Daga\NNP ,\, haveli\NN of\IN Kothari\NNP ,\, haveli\NN of\IN Dholha\NNP ,\, Nathmalji\NNP 's\POS haveli\NN ,\, haveli\NN of\IN the\DT Pathwas\NNPS and\CC the\DT haveli\NN of\IN Salima\NNP Singh\NNP etc.\FW .\.
htd13005	Tourists\NNS can\MD also\RB tour\VB these\DT havelis\NNS by\IN horse\NN riding\VBG .\.
htd13006	In\IN some\DT of\IN the\DT havelis\NN out\IN of\IN these\DT old\JJ traders\NNS and\CC their\PRP$ descendants\NNS live\VBP and\CC some\DT have\VBP been\VBN converted\VBN into\IN hotels\NNS etc.\FW .\.
htd13007	The\DT haveli\NN of\IN Nathmalji\NNP was\VBD built\VBN in\IN the\DT second\JJ half\NN of\IN the\DT 19th\JJ century\NN .\.
htd13008	The\DT architecture\NN ,\, sculpture\NN of\IN the\DT haveli\NN of\IN Nathmalji\NNP is\VBZ magnificent\JJ .\.
htd13009	Two\CD brother\NN had\VBD done\VBN the\DT carvings\NNS on\IN the\DT right\JJ portion\NN of\IN the\DT haveli\NN of\IN Nathmalji\NNP .\.
htd13010	Both\DT of\IN these\DT carvings\NNS are\VBP although\IN not\RB similar\JJ but\CC their\PRP$ outline\NN is\VBZ mostly\RB the\DT same\JJ and\CC proportional\JJ .\.
htd13011	Amidst\JJ old\JJ Jaisalmer\NN near\IN Mahavir\NNP Bhavan\NNP there\EX is\VBZ a\DT group\NN of\IN 5\CD havelis\NNS .\.
htd13012	These\DT havelis\NNS of\IN Patwa\NNP Jain\NNP Bafnas\NNP was\VBD constructed\VBN in\IN between\IN 1800\CD AD\NN to\TO 1860\CD .\.
htd13013	The\DT ancestors\NNS of\IN Bafna\NNP Seths\NNP used\VBD to\TO do\VB the\DT works\NNS of\IN meading\NN ,\, harvesting\NN ,\, knitting\NN .\.
htd13014	Due\JJ to\TO this\DT reason\NN the\DT ancestors\NNS of\IN Bafnas\NNP were\VBD called\VBN Patua\NNP .\.
htd13015	These\DT ancestors\NNS of\IN the\DT Bafnas\NNPS were\VBD big\JJ traders\NNS .\.
htd13016	Throughout\IN Asia\NNP these\DT ancestors\NNS of\IN the\DT Bafnas\NNP had\VBD hundreds\NNS of\IN shops\NNS .\.
htd13017	They\PRP earned\VBD a\DT lot\NN of\IN money\NN in\IN trades\NNS and\CC built\VBN colossal\JJ buildings\NNS ,\, beautiful\JJ temples\NNS at\IN places\NNS like\IN Jaisalmer\NNP ,\, Udaipur\NNP ,\, Kota\NNP ,\, Indore\NNP etc.\FW .\.
htd13018	The\DT fine\JJ engravings\NNS carved\VBN on\IN the\DT walls\NNS of\IN these\DT 7\CD storeyed\JJ havelis\NNS located\VBN in\IN Jaisalmer\NNP is\VBZ spectacular\JJ .\.
htd13019	Its\PRP$ meshed\JJ and\CC windowed\JJ beauty\NN separates\VBZ it\PRP from\IN other\JJ havelis\NNS .\.
htd13020	The\DT wooden\JJ roof\NN inside\IN the\DT havelis\NN ,\, soily\JJ courtyard\NN ,\, open\JJ square\NN ,\, underground\JJ pool\NN ,\, airy\JJ kitchen\NN are\VBP the\DT speciality\NN of\IN the\DT architecture\NN here\RB .\.
htd13021	Attractive\JJ domed\JJ roof\NN and\CC carved\VBN cells\NNS are\VBP there\RB in\IN this\DT 200\CD years\NNS old\JJ haveli\NN of\IN the\DT ruler\NN king\NN of\IN Jaisalmer\NNP Maharaja\NNP Raval\NNP Gaj\NNP Singh\NNP .\.
