ID	Value
htd23001	यह\DM_DMD शिव\N_NNP और\CC_CCD शक्ति\N_NNP की\PSP सम्मिलित\JJ पूजा\N_NN का\PSP स्थान\N_NN है\V_VM ।\RD_PUNC
htd23002	इसे\DM_DMD चामुंडा\N_NNP नंदिकेश्वर\N_NNP के\PSP नाम\N_NN से\PSP भी\RP_RPD जाना\V_VM जाता\V_VAUX है\V_VAUX ।\RD_PUNC
htd23003	पठानकोट\N_NNP से\PSP रेल\N_NN की\PSP छोटी\JJ लाइन\N_NN जो\PR_PRL पपरोला\N_NNP जाती\V_VM है\V_VAUX ,\RD_PUNC उसमें\PR_PRP सफर\N_NN करके\V_VM यात्री\N_NN चामुंडा\N_NNP रेलवे\N_NNP स्टेशन\N_NNP पर\PSP उतर\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd23004	चामुंडा\N_NNP रेलवे\N_NNP स्टेशन\N_NNP मलाँ\N_NNP में\PSP है\V_VM ।\RD_PUNC
htd23005	यहाँ\DM_DMD से\PSP मंदिर\N_NN की\PSP दूरी\N_NN लगभग\QT_QTF चार\QT_QTC कि.मी.\QT_QTF है\V_VM ।\RD_PUNC
htd23006	मलाँ\N_NNP से\PSP बस\N_NN अथवा\CC_CCD निजी\JJ वाहनों\N_NN द्वारा\PSP चामुंडा\N_NNP मंदिर\N_NNP जाया\V_VM जा\V_VAUX सकता\V_VAUX है\V_VAUX ।\RD_PUNC
htd23007	ज्वालाजी\N_NNP से\PSP कांगड़ा\N_NNP दो\QT_QTC घंटे\N_NN में\PSP और\CC_CCD कांगड़ा\N_NNP से\PSP मलाँ\N_NNP डेढ\QT_QTC घंटे\N_NN में\PSP पहुँचा\V_VM जा\V_VM सकता\V_VAUX है\V_VAUX ।\RD_PUNC
htd23008	चामुंडा\N_NNP देवी\N_NNP का\PSP मंदिर\N_NN बाणगंगा\N_NNP के\PSP तट\N_NN पर\PSP स्थित\N_NN है\V_VM ।\RD_PUNC
htd23009	यह\DM_DMD उग्र\N_NN -\RD_PUNC सिद्घपीठ\N_NN प्राचीन\JJ काल\N_NN से\PSP ही\RD_RDF योगियों\N_NN ,\RD_PUNC साधकों\N_NN व\CC_CCD तांत्रिकों\N_NN के\PSP लिए\PSP एकांत\JJ ,\RD_PUNC शांत\JJ और\CC_CCD प्राकृतिक\JJ ऊर्जा\N_NN से\PSP लबरेज\N_NN क्षेत्र\N_NN रहा\V_VM है\V_VAUX ।\RD_PUNC
htd23010	यहाँ\DM_DMD आने\V_VM वाले\PSP श्रद्धालु\JJ शिव\N_NNP और\CC_CCD शक्ति\N_NNP के\PSP मंत्रों\N_NN से\PSP पूजन\N_NN ,\RD_PUNC दान\N_NN और\CC_CCD पिंडदान\N_NN आदि\N_NN करते\V_VM हैं\V_VAUX ।\RD_PUNC
