ID	Value
htd12001	Our\PRP$ program\NN was\VBD to\TO see\VB the\DT famous\JJ Lake\NNP Manyara\NNP National\NNP Park\NNP while\IN returning\VBG from\IN Ngorongoro\NNP National\NNP Park\NNP .\.
htd12002	We\PRP could\MD not\RB resist\VB the\DT desire\NN of\IN seeing\VBG Olduvai\NNP Valley\NNP ,\, located\VBN in\IN the\DT East\NNP of\IN Ngorongoro\NNP Conservation\NNP Area\NNP ,\, one\CD of\IN the\DT world\NN 's\VBZ most\RBS important\JJ sites\NNS in\IN terms\NNS of\IN archaeology\NN .\.
htd12003	The\DT skull\NN of\IN about\IN 1\CD ,75\CD ,0000\CD years\NNS old\JJ human\JJ ancestor\NN was\VBD found\VBN in\IN Olduvai\NNP Valley\NNP ,\, the\DT credit\NN of\IN which\WDT goes\VBZ to\TO Dr\NNP .\: Leakey\NNP .\.
htd12004	Archaeological\JJ discoveries\NNS of\IN Dr\NNP .\: Leakey\NNP have\VBP worldwide\JJ reputation\NN .\.
htd12005	These\DT days\NNS that\WDT skull\VBP is\VBZ stored\VBN in\IN the\DT National\NNP Museum\NNP of\IN Dar-Es-Salam\NNP .\.
htd12006	The\DT fossilized\JJ residues\NNS of\IN the\DT animals\NNS extinct\JJ several\JJ years\NNS ago\IN which\WDT were\VBD discovered\VBN in\IN the\DT same\JJ area\NN are\VBP stored\VBN in\IN the\DT museum\NN built\VBN near\IN Olduvai\NNP Valley\NNP .\.
htd12007	On\IN seeing\VBG this\DT museum\NN we\PRP started\VBD sinking\VBG into\IN the\DT atmosphere\NN of\IN millions\NNS of\IN years\NNS before\RB .\.
htd12008	We\PRP all\DT enjoyed\VBD seeing\VBG the\DT fossils\NNS a\DT lot\NN .\.
htd12009	Now\RB we\PRP started\VBD worrying\VBG about\IN entering\VBG into\IN the\DT Lake\NNP Manyara\NNP National\NNP Park\NNP .\.
htd12010	The\DT day\NN was\VBD ending\VBG and\CC there\EX was\VBD little\JJ time\NN .\.
htd12011	Yet\RB the\DT desire\NN to\TO see\VB Lake\NNP Manyara\NNP National\NNP Park\NNP was\VBD getting\VBG stronger\JJR .\.
htd12012	We\PRP certainly\RB did\VBD not\RB want\VB to\TO miss\VB the\DT opportunity\NN of\IN seeing\VBG Manyara\NNP Park\NNP as\IN it\PRP was\VBD 19\CD kilometers\NNS down\RB from\IN the\DT Gornagoro\NNP Park\NNP .\.
htd12013	There\EX was\VBD half\PDT an\DT hour\NN left\VBN for\IN the\DT last\JJ entry\NN .\.
htd12014	Thanks\NNS to\TO the\DT driver\NN we\PRP had\VBD reached\VBN to\TO Lake\NNP Manyara\NNP National\NNP Park\NNP in\IN time\NN .\.
htd12015	We\PRP breathed\VBD a\DT sigh\NN of\IN relief\NN as\RB soon\RB as\IN the\DT jeep\NN entered\VBD the\DT Lake\NNP Manyara\NNP National\NNP Park\NNP .\.
htd12016	Lake\NNP Manyara\NNP National\NNP Park\NNP is\VBZ situated\VBN about\IN 120\CD kilometres\NNS away\RB in\IN the\DT Southwest\NN of\IN `\`` Arusha\NNP '\'' .\.
htd12017	The\DT beautiful\JJ view\NN of\IN 305\CD metres\NNS tall\JJ Western\JJ wall\NN of\IN the\DT Great\NNP Rift\NNP Valley\NNP can\MD be\VB seen\VBN from\IN here\RB .\.
